Circle, white, A, black
Semi_Circle, red, E, orange
Semi_Circle, red, F, orange
Semi_Circle, red, G, orange
Semi_Circle, red, H, orange
Semi_Circle, red, I, orange
Semi_Circle, red, J, orange
Semi_Circle, red, K, orange
Semi_Circle, red, L, orange
Semi_Circle, red, M, orange
Semi_Circle, red, N, orange
Semi_Circle, red, O, orange
Semi_Circle, red, P, orange
Semi_Circle, red, Q, orange
Semi_Circle, red, R, orange
Semi_Circle, red, S, orange
Semi_Circle, red, T, orange
Semi_Circle, red, U, orange
Semi_Circle, red, V, orange
Semi_Circle, red, W, orange
Semi_Circle, red, X, orange
Semi_Circle, red, Y, orange
Semi_Circle, red, Z, orange
Semi_Circle, red, 0, orange
Semi_Circle, red, 1, orange
Semi_Circle, red, 2, orange
Semi_Circle, red, 3, orange
Semi_Circle, red, 4, orange
Semi_Circle, red, 5, orange
Semi_Circle, red, 6, orange
Semi_Circle, red, 7, orange
Semi_Circle, red, 8, orange
Semi_Circle, red, 9, orange
Semi_Circle, blue, A, white
Semi_Circle, blue, B, white
Semi_Circle, blue, C, white
Semi_Circle, blue, D, white
Semi_Circle, blue, E, white
Semi_Circle, blue, F, white
Semi_Circle, blue, G, white
Semi_Circle, blue, H, white
Semi_Circle, blue, I, white
Semi_Circle, blue, J, white
Semi_Circle, blue, K, white
Semi_Circle, blue, L, white
Semi_Circle, blue, M, white
Semi_Circle, blue, N, white
Semi_Circle, blue, O, white
Semi_Circle, blue, P, white
Semi_Circle, blue, Q, white
Semi_Circle, blue, R, white
Semi_Circle, blue, S, white
Semi_Circle, blue, T, white
Semi_Circle, blue, U, white
Semi_Circle, blue, V, white
Semi_Circle, blue, W, white
Semi_Circle, blue, X, white
Semi_Circle, blue, Y, white
Semi_Circle, blue, Z, white
Semi_Circle, blue, 0, white
Semi_Circle, blue, 1, white
Semi_Circle, blue, 2, white
Semi_Circle, blue, 3, white
Semi_Circle, blue, 4, white
Semi_Circle, blue, 5, white
Semi_Circle, blue, 6, white
Semi_Circle, blue, 7, white
Semi_Circle, blue, 8, white
Semi_Circle, blue, 9, white
Semi_Circle, blue, A, black
Semi_Circle, blue, B, black
Semi_Circle, blue, C, black
Semi_Circle, blue, D, black
Semi_Circle, blue, E, black
Semi_Circle, blue, F, black
Semi_Circle, blue, G, black
Semi_Circle, blue, H, black
Semi_Circle, blue, I, black
Semi_Circle, blue, J, black
Semi_Circle, blue, K, black
Semi_Circle, blue, L, black
Semi_Circle, blue, M, black
Semi_Circle, blue, N, black
Semi_Circle, blue, O, black
Semi_Circle, blue, P, black
Semi_Circle, blue, Q, black
Semi_Circle, blue, R, black
Semi_Circle, blue, S, black
Semi_Circle, blue, T, black
Semi_Circle, blue, U, black
Semi_Circle, blue, V, black
Semi_Circle, blue, W, black
Semi_Circle, blue, X, black
Semi_Circle, blue, Y, black
Semi_Circle, blue, Z, black
Semi_Circle, blue, 0, black
Semi_Circle, blue, 1, black
Semi_Circle, blue, 2, black
Semi_Circle, blue, 3, black
Semi_Circle, blue, 4, black
Semi_Circle, blue, 5, black
Semi_Circle, blue, 6, black
Semi_Circle, blue, 7, black
Semi_Circle, blue, 8, black
Semi_Circle, blue, 9, black
Semi_Circle, blue, A, red
Semi_Circle, blue, B, red
Semi_Circle, blue, C, red
Semi_Circle, blue, D, red
Semi_Circle, blue, E, red
Semi_Circle, blue, F, red
Semi_Circle, blue, G, red
Semi_Circle, blue, H, red
Semi_Circle, blue, I, red
Semi_Circle, blue, J, red
Semi_Circle, blue, K, red
Semi_Circle, blue, L, red
Semi_Circle, blue, M, red
Semi_Circle, blue, N, red
Semi_Circle, blue, O, red
Semi_Circle, blue, P, red
Semi_Circle, blue, Q, red
Semi_Circle, blue, R, red
Semi_Circle, blue, S, red
Semi_Circle, blue, T, red
Semi_Circle, blue, U, red
Semi_Circle, blue, V, red
Semi_Circle, blue, W, red
Semi_Circle, blue, X, red
Semi_Circle, blue, Y, red
Semi_Circle, blue, Z, red
Semi_Circle, blue, 0, red
Semi_Circle, blue, 1, red
Semi_Circle, blue, 2, red
Semi_Circle, blue, 3, red
Semi_Circle, blue, 4, red
Semi_Circle, blue, 5, red
Semi_Circle, blue, 6, red
Semi_Circle, blue, 7, red
Semi_Circle, blue, 8, red
Semi_Circle, blue, 9, red
Semi_Circle, blue, A, green
Semi_Circle, blue, B, green
Semi_Circle, blue, C, green
Semi_Circle, blue, D, green
Semi_Circle, blue, E, green
Semi_Circle, blue, F, green
Semi_Circle, blue, G, green
Semi_Circle, blue, H, green
Semi_Circle, blue, I, green
Semi_Circle, blue, J, green
Semi_Circle, blue, K, green
Semi_Circle, blue, L, green
Semi_Circle, blue, M, green
Semi_Circle, blue, N, green
Semi_Circle, blue, O, green
Semi_Circle, blue, P, green
Semi_Circle, blue, Q, green
Semi_Circle, blue, R, green
Semi_Circle, blue, S, green
Semi_Circle, blue, T, green
Semi_Circle, blue, U, green
Semi_Circle, blue, V, green
Semi_Circle, blue, W, green
Semi_Circle, blue, X, green
Semi_Circle, blue, Y, green
Semi_Circle, blue, Z, green
Semi_Circle, blue, 0, green
Semi_Circle, blue, 1, green
Semi_Circle, blue, 2, green
Semi_Circle, blue, 3, green
Semi_Circle, blue, 4, green
Semi_Circle, blue, 5, green
Semi_Circle, blue, 6, green
Semi_Circle, blue, 7, green
Semi_Circle, blue, 8, green
Semi_Circle, blue, 9, green
Semi_Circle, blue, A, purple
Semi_Circle, blue, B, purple
Semi_Circle, blue, C, purple
Semi_Circle, blue, D, purple
Semi_Circle, blue, E, purple
Semi_Circle, blue, F, purple
Semi_Circle, blue, G, purple
Semi_Circle, blue, H, purple
Semi_Circle, blue, I, purple
Semi_Circle, blue, J, purple
Semi_Circle, blue, K, purple
Semi_Circle, blue, L, purple
Semi_Circle, blue, M, purple
Semi_Circle, blue, N, purple
Semi_Circle, blue, O, purple
Semi_Circle, blue, P, purple
Semi_Circle, blue, Q, purple
Semi_Circle, blue, R, purple
Semi_Circle, blue, S, purple
Semi_Circle, blue, T, purple
Semi_Circle, blue, U, purple
Semi_Circle, blue, V, purple
Semi_Circle, blue, W, purple
Semi_Circle, blue, X, purple
Semi_Circle, blue, Y, purple
Semi_Circle, blue, Z, purple
Semi_Circle, blue, 0, purple
Semi_Circle, blue, 1, purple
Semi_Circle, blue, 2, purple
Semi_Circle, blue, 3, purple
Semi_Circle, blue, 4, purple
Semi_Circle, blue, 5, purple
Semi_Circle, blue, 6, purple
Semi_Circle, blue, 7, purple
Semi_Circle, blue, 8, purple
Semi_Circle, blue, 9, purple
Semi_Circle, blue, A, brown
Semi_Circle, blue, B, brown
Semi_Circle, blue, C, brown
Semi_Circle, blue, D, brown
Semi_Circle, blue, E, brown
Semi_Circle, blue, F, brown
Semi_Circle, blue, G, brown
Semi_Circle, blue, H, brown
Semi_Circle, blue, I, brown
Semi_Circle, blue, J, brown
Semi_Circle, blue, K, brown
Semi_Circle, blue, L, brown
Semi_Circle, blue, M, brown
Semi_Circle, blue, N, brown
Semi_Circle, blue, O, brown
Semi_Circle, blue, P, brown
Semi_Circle, blue, Q, brown
Semi_Circle, blue, R, brown
Semi_Circle, blue, S, brown
Semi_Circle, blue, T, brown
Semi_Circle, blue, U, brown
Semi_Circle, blue, V, brown
Semi_Circle, blue, W, brown
Semi_Circle, blue, X, brown
Semi_Circle, blue, Y, brown
Semi_Circle, blue, Z, brown
Semi_Circle, blue, 0, brown
Semi_Circle, blue, 1, brown
Semi_Circle, blue, 2, brown
Semi_Circle, blue, 3, brown
Semi_Circle, blue, 4, brown
Semi_Circle, blue, 5, brown
Semi_Circle, blue, 6, brown
Semi_Circle, blue, 7, brown
Semi_Circle, blue, 8, brown
Semi_Circle, blue, 9, brown
Semi_Circle, blue, A, orange
Semi_Circle, blue, B, orange
Semi_Circle, blue, C, orange
Semi_Circle, blue, D, orange
Semi_Circle, blue, E, orange
Semi_Circle, blue, F, orange
Semi_Circle, blue, G, orange
Semi_Circle, blue, H, orange
Semi_Circle, blue, I, orange
Semi_Circle, blue, J, orange
Semi_Circle, blue, K, orange
Semi_Circle, blue, L, orange
Semi_Circle, blue, M, orange
Semi_Circle, blue, N, orange
Semi_Circle, blue, O, orange
Semi_Circle, blue, P, orange
Semi_Circle, blue, Q, orange
Semi_Circle, blue, R, orange
Semi_Circle, blue, S, orange
Semi_Circle, blue, T, orange
Semi_Circle, blue, U, orange
Semi_Circle, blue, V, orange
Semi_Circle, blue, W, orange
Semi_Circle, blue, X, orange
Semi_Circle, blue, Y, orange
Semi_Circle, blue, Z, orange
Semi_Circle, blue, 0, orange
Semi_Circle, blue, 1, orange
Semi_Circle, blue, 2, orange
Semi_Circle, blue, 3, orange
Semi_Circle, blue, 4, orange
Semi_Circle, blue, 5, orange
Semi_Circle, blue, 6, orange
Semi_Circle, blue, 7, orange
Semi_Circle, blue, 8, orange
Semi_Circle, blue, 9, orange
Semi_Circle, green, A, white
Semi_Circle, green, B, white
Semi_Circle, green, C, white
Semi_Circle, green, D, white
Semi_Circle, green, E, white
Semi_Circle, green, F, white
Semi_Circle, green, G, white
Semi_Circle, green, H, white
Semi_Circle, green, I, white
Semi_Circle, green, J, white
Semi_Circle, green, K, white
Semi_Circle, green, L, white
Semi_Circle, green, M, white
Semi_Circle, green, N, white
Semi_Circle, green, O, white
Semi_Circle, green, P, white
Semi_Circle, green, Q, white
Semi_Circle, green, R, white
Semi_Circle, green, S, white
Semi_Circle, green, T, white
Semi_Circle, green, U, white
Semi_Circle, green, V, white
Semi_Circle, green, W, white
Semi_Circle, green, X, white
Semi_Circle, green, Y, white
Semi_Circle, green, Z, white
Semi_Circle, green, 0, white
Semi_Circle, green, 1, white
Semi_Circle, green, 2, white
Semi_Circle, green, 3, white
Semi_Circle, green, 4, white
Semi_Circle, green, 5, white
Semi_Circle, green, 6, white
Semi_Circle, green, 7, white
Semi_Circle, green, 8, white
Semi_Circle, green, 9, white
Semi_Circle, green, A, black
Semi_Circle, green, B, black
Semi_Circle, green, C, black
Semi_Circle, green, D, black
Semi_Circle, green, E, black
Semi_Circle, green, F, black
Semi_Circle, green, G, black
Semi_Circle, green, H, black
Semi_Circle, green, I, black
Semi_Circle, green, J, black
Semi_Circle, green, K, black
Semi_Circle, green, L, black
Semi_Circle, green, M, black
Semi_Circle, green, N, black
Semi_Circle, green, O, black
Semi_Circle, green, P, black
Semi_Circle, green, Q, black
Semi_Circle, green, R, black
Semi_Circle, green, S, black
Semi_Circle, green, T, black
Semi_Circle, green, U, black
Semi_Circle, green, V, black
Semi_Circle, green, W, black
Semi_Circle, green, X, black
Semi_Circle, green, Y, black
Semi_Circle, green, Z, black
Semi_Circle, green, 0, black
Semi_Circle, green, 1, black
Semi_Circle, green, 2, black
Semi_Circle, green, 3, black
Semi_Circle, green, 4, black
Semi_Circle, green, 5, black
Semi_Circle, green, 6, black
Semi_Circle, green, 7, black
Semi_Circle, green, 8, black
Semi_Circle, green, 9, black
Semi_Circle, green, A, red
Semi_Circle, green, B, red
Semi_Circle, green, C, red
Semi_Circle, green, D, red
Semi_Circle, green, E, red
Semi_Circle, green, F, red
Semi_Circle, green, G, red
Semi_Circle, green, H, red
Semi_Circle, green, I, red
Semi_Circle, green, J, red
Semi_Circle, green, K, red
Semi_Circle, green, L, red
Semi_Circle, green, M, red
Semi_Circle, green, N, red
Semi_Circle, green, O, red
Semi_Circle, green, P, red
Semi_Circle, green, Q, red
Semi_Circle, green, R, red
Semi_Circle, green, S, red
Semi_Circle, green, T, red
Semi_Circle, green, U, red
Semi_Circle, green, V, red
Semi_Circle, green, W, red
Semi_Circle, green, X, red
Semi_Circle, green, Y, red
Semi_Circle, green, Z, red
Semi_Circle, green, 0, red
Semi_Circle, green, 1, red
Semi_Circle, green, 2, red
Semi_Circle, green, 3, red
Semi_Circle, green, 4, red
Semi_Circle, green, 5, red
Semi_Circle, green, 6, red
Semi_Circle, green, 7, red
Semi_Circle, green, 8, red
Semi_Circle, green, 9, red
Semi_Circle, green, A, blue
Semi_Circle, green, B, blue
Semi_Circle, green, C, blue
Semi_Circle, green, D, blue
Semi_Circle, green, E, blue
Semi_Circle, green, F, blue
Semi_Circle, green, G, blue
Semi_Circle, green, H, blue
Semi_Circle, green, I, blue
Semi_Circle, green, J, blue
Semi_Circle, green, K, blue
Semi_Circle, green, L, blue
Semi_Circle, green, M, blue
Semi_Circle, green, N, blue
Semi_Circle, green, O, blue
Semi_Circle, green, P, blue
Semi_Circle, green, Q, blue
Semi_Circle, green, R, blue
Semi_Circle, green, S, blue
Semi_Circle, green, T, blue
Semi_Circle, green, U, blue
Semi_Circle, green, V, blue
Semi_Circle, green, W, blue
Semi_Circle, green, X, blue
Semi_Circle, green, Y, blue
Semi_Circle, green, Z, blue
Semi_Circle, green, 0, blue
Semi_Circle, green, 1, blue
Semi_Circle, green, 2, blue
Semi_Circle, green, 3, blue
Semi_Circle, green, 4, blue
Semi_Circle, green, 5, blue
Semi_Circle, green, 6, blue
Semi_Circle, green, 7, blue
Semi_Circle, green, 8, blue
Semi_Circle, green, 9, blue
Semi_Circle, green, A, purple
Semi_Circle, green, B, purple
Semi_Circle, green, C, purple
Semi_Circle, green, D, purple
Semi_Circle, green, E, purple
Semi_Circle, green, F, purple
Semi_Circle, green, G, purple
Semi_Circle, green, H, purple
Semi_Circle, green, I, purple
Semi_Circle, green, J, purple
Semi_Circle, green, K, purple
Semi_Circle, green, L, purple
Semi_Circle, green, M, purple
Semi_Circle, green, N, purple
Semi_Circle, green, O, purple
Semi_Circle, green, P, purple
Semi_Circle, green, Q, purple
Semi_Circle, green, R, purple
Semi_Circle, green, S, purple
Semi_Circle, green, T, purple
Semi_Circle, green, U, purple
Semi_Circle, green, V, purple
Semi_Circle, green, W, purple
Semi_Circle, green, X, purple
Semi_Circle, green, Y, purple
Semi_Circle, green, Z, purple
Semi_Circle, green, 0, purple
Semi_Circle, green, 1, purple
Semi_Circle, green, 2, purple
Semi_Circle, green, 3, purple
Semi_Circle, green, 4, purple
Semi_Circle, green, 5, purple
Semi_Circle, green, 6, purple
Semi_Circle, green, 7, purple
Semi_Circle, green, 8, purple
Semi_Circle, green, 9, purple
Semi_Circle, green, A, brown
Semi_Circle, green, B, brown
Semi_Circle, green, C, brown
Semi_Circle, green, D, brown
Semi_Circle, green, E, brown
Semi_Circle, green, F, brown
Semi_Circle, green, G, brown
Semi_Circle, green, H, brown
Semi_Circle, green, I, brown
Semi_Circle, green, J, brown
Semi_Circle, green, K, brown
Semi_Circle, green, L, brown
Semi_Circle, green, M, brown
Semi_Circle, green, N, brown
Semi_Circle, green, O, brown
Semi_Circle, green, P, brown
Semi_Circle, green, Q, brown
Semi_Circle, green, R, brown
Semi_Circle, green, S, brown
Semi_Circle, green, T, brown
Semi_Circle, green, U, brown
Semi_Circle, green, V, brown
Semi_Circle, green, W, brown
Semi_Circle, green, X, brown
Semi_Circle, green, Y, brown
Semi_Circle, green, Z, brown
Semi_Circle, green, 0, brown
Semi_Circle, green, 1, brown
Semi_Circle, green, 2, brown
Semi_Circle, green, 3, brown
Semi_Circle, green, 4, brown
Semi_Circle, green, 5, brown
Semi_Circle, green, 6, brown
Semi_Circle, green, 7, brown
Semi_Circle, green, 8, brown
Semi_Circle, green, 9, brown
Semi_Circle, green, A, orange
Semi_Circle, green, B, orange
Semi_Circle, green, C, orange
Semi_Circle, green, D, orange
Semi_Circle, green, E, orange
Semi_Circle, green, F, orange
Semi_Circle, green, G, orange
Semi_Circle, green, H, orange
Semi_Circle, green, I, orange
Semi_Circle, green, J, orange
Semi_Circle, green, K, orange
Semi_Circle, green, L, orange
Semi_Circle, green, M, orange
Semi_Circle, green, N, orange
Semi_Circle, green, O, orange
Semi_Circle, green, P, orange
Semi_Circle, green, Q, orange
Semi_Circle, green, R, orange
Semi_Circle, green, S, orange
Semi_Circle, green, T, orange
Semi_Circle, green, U, orange
Semi_Circle, green, V, orange
Semi_Circle, green, W, orange
Semi_Circle, green, X, orange
Semi_Circle, green, Y, orange
Semi_Circle, green, Z, orange
Semi_Circle, green, 0, orange
Semi_Circle, green, 1, orange
Semi_Circle, green, 2, orange
Semi_Circle, green, 3, orange
Semi_Circle, green, 4, orange
Semi_Circle, green, 5, orange
Semi_Circle, green, 6, orange
Semi_Circle, green, 7, orange
Semi_Circle, green, 8, orange
Semi_Circle, green, 9, orange
Semi_Circle, purple, A, white
Semi_Circle, purple, B, white
Semi_Circle, purple, C, white
Semi_Circle, purple, D, white
Semi_Circle, purple, E, white
Semi_Circle, purple, F, white
Semi_Circle, purple, G, white
Semi_Circle, purple, H, white
Semi_Circle, purple, I, white
Semi_Circle, purple, J, white
Semi_Circle, purple, K, white
Semi_Circle, purple, L, white
Semi_Circle, purple, M, white
Semi_Circle, purple, N, white
Semi_Circle, purple, O, white
Semi_Circle, purple, P, white
Semi_Circle, purple, Q, white
Semi_Circle, purple, R, white
Semi_Circle, purple, S, white
Semi_Circle, purple, T, white
Semi_Circle, purple, U, white
Semi_Circle, purple, V, white
Semi_Circle, purple, W, white
Semi_Circle, purple, X, white
Semi_Circle, purple, Y, white
Semi_Circle, purple, Z, white
Semi_Circle, purple, 0, white
Semi_Circle, purple, 1, white
Semi_Circle, purple, 2, white
Semi_Circle, purple, 3, white
Semi_Circle, purple, 4, white
Semi_Circle, purple, 5, white
Semi_Circle, purple, 6, white
Semi_Circle, purple, 7, white
Semi_Circle, purple, 8, white
Semi_Circle, purple, 9, white
Semi_Circle, purple, A, black
Semi_Circle, purple, B, black
Semi_Circle, purple, C, black
Semi_Circle, purple, D, black
Semi_Circle, purple, E, black
Semi_Circle, purple, F, black
Semi_Circle, purple, G, black
Semi_Circle, purple, H, black
Semi_Circle, purple, I, black
Semi_Circle, purple, J, black
Semi_Circle, purple, K, black
Semi_Circle, purple, L, black
Semi_Circle, purple, M, black
Semi_Circle, purple, N, black
Semi_Circle, purple, O, black
Semi_Circle, purple, P, black
Semi_Circle, purple, Q, black
Semi_Circle, purple, R, black
Semi_Circle, purple, S, black
Semi_Circle, purple, T, black
Semi_Circle, purple, U, black
Semi_Circle, purple, V, black
Semi_Circle, purple, W, black
Semi_Circle, purple, X, black
Semi_Circle, purple, Y, black
Semi_Circle, purple, Z, black
Semi_Circle, purple, 0, black
Semi_Circle, purple, 1, black
Semi_Circle, purple, 2, black
Semi_Circle, purple, 3, black
Semi_Circle, purple, 4, black
Semi_Circle, purple, 5, black
Semi_Circle, purple, 6, black
Semi_Circle, purple, 7, black
Semi_Circle, purple, 8, black
Semi_Circle, purple, 9, black
Semi_Circle, purple, A, red
Semi_Circle, purple, B, red
Semi_Circle, purple, C, red
Semi_Circle, purple, D, red
Semi_Circle, purple, E, red
Semi_Circle, purple, F, red
Semi_Circle, purple, G, red
Semi_Circle, purple, H, red
Semi_Circle, purple, I, red
Semi_Circle, purple, J, red
Semi_Circle, purple, K, red
Semi_Circle, purple, L, red
Semi_Circle, purple, M, red
Semi_Circle, purple, N, red
Semi_Circle, purple, O, red
Semi_Circle, purple, P, red
Semi_Circle, purple, Q, red
Semi_Circle, purple, R, red
Semi_Circle, purple, S, red
Semi_Circle, purple, T, red
Semi_Circle, purple, U, red
Semi_Circle, purple, V, red
Semi_Circle, purple, W, red
Semi_Circle, purple, X, red
Semi_Circle, purple, Y, red
Semi_Circle, purple, Z, red
Semi_Circle, purple, 0, red
Semi_Circle, purple, 1, red
Semi_Circle, purple, 2, red
Semi_Circle, purple, 3, red
Semi_Circle, purple, 4, red
Semi_Circle, purple, 5, red
Semi_Circle, purple, 6, red
Semi_Circle, purple, 7, red
Semi_Circle, purple, 8, red
Semi_Circle, purple, 9, red
Semi_Circle, purple, A, blue
Semi_Circle, purple, B, blue
Semi_Circle, purple, C, blue
Semi_Circle, purple, D, blue
Semi_Circle, purple, E, blue
Semi_Circle, purple, F, blue
Semi_Circle, purple, G, blue
Semi_Circle, purple, H, blue
Semi_Circle, purple, I, blue
Semi_Circle, purple, J, blue
Semi_Circle, purple, K, blue
Semi_Circle, purple, L, blue
Semi_Circle, purple, M, blue
Semi_Circle, purple, N, blue
Semi_Circle, purple, O, blue
Semi_Circle, purple, P, blue
Semi_Circle, purple, Q, blue
Semi_Circle, purple, R, blue
Semi_Circle, purple, S, blue
Semi_Circle, purple, T, blue
Semi_Circle, purple, U, blue
Semi_Circle, purple, V, blue
Semi_Circle, purple, W, blue
Semi_Circle, purple, X, blue
Semi_Circle, purple, Y, blue
Semi_Circle, purple, Z, blue
Semi_Circle, purple, 0, blue
Semi_Circle, purple, 1, blue
Semi_Circle, purple, 2, blue
Semi_Circle, purple, 3, blue
Semi_Circle, purple, 4, blue
Semi_Circle, purple, 5, blue
Semi_Circle, purple, 6, blue
Semi_Circle, purple, 7, blue
Semi_Circle, purple, 8, blue
Semi_Circle, purple, 9, blue
Semi_Circle, purple, A, green
Semi_Circle, purple, B, green
Semi_Circle, purple, C, green
Semi_Circle, purple, D, green
Semi_Circle, purple, E, green
Semi_Circle, purple, F, green
Semi_Circle, purple, G, green
Semi_Circle, purple, H, green
Semi_Circle, purple, I, green
Semi_Circle, purple, J, green
Semi_Circle, purple, K, green
Semi_Circle, purple, L, green
Semi_Circle, purple, M, green
Semi_Circle, purple, N, green
Semi_Circle, purple, O, green
Semi_Circle, purple, P, green
Semi_Circle, purple, Q, green
Semi_Circle, purple, R, green
Semi_Circle, purple, S, green
Semi_Circle, purple, T, green
Semi_Circle, purple, U, green
Semi_Circle, purple, V, green
Semi_Circle, purple, W, green
Semi_Circle, purple, X, green
Semi_Circle, purple, Y, green
Semi_Circle, purple, Z, green
Semi_Circle, purple, 0, green
Semi_Circle, purple, 1, green
Semi_Circle, purple, 2, green
Semi_Circle, purple, 3, green
Semi_Circle, purple, 4, green
Semi_Circle, purple, 5, green
Semi_Circle, purple, 6, green
Semi_Circle, purple, 7, green
Semi_Circle, purple, 8, green
Semi_Circle, purple, 9, green
Semi_Circle, purple, A, brown
Semi_Circle, purple, B, brown
Semi_Circle, purple, C, brown
Semi_Circle, purple, D, brown
Semi_Circle, purple, E, brown
Semi_Circle, purple, F, brown
Semi_Circle, purple, G, brown
Semi_Circle, purple, H, brown
Semi_Circle, purple, I, brown
Semi_Circle, purple, J, brown
Semi_Circle, purple, K, brown
Semi_Circle, purple, L, brown
Semi_Circle, purple, M, brown
Semi_Circle, purple, N, brown
Semi_Circle, purple, O, brown
Semi_Circle, purple, P, brown
Semi_Circle, purple, Q, brown
Semi_Circle, purple, R, brown
Semi_Circle, purple, S, brown
Semi_Circle, purple, T, brown
Semi_Circle, purple, U, brown
Semi_Circle, purple, V, brown
Semi_Circle, purple, W, brown
Semi_Circle, purple, X, brown
Semi_Circle, purple, Y, brown
Semi_Circle, purple, Z, brown
Semi_Circle, purple, 0, brown
Semi_Circle, purple, 1, brown
Semi_Circle, purple, 2, brown
Semi_Circle, purple, 3, brown
Semi_Circle, purple, 4, brown
Semi_Circle, purple, 5, brown
Semi_Circle, purple, 6, brown
Semi_Circle, purple, 7, brown
Semi_Circle, purple, 8, brown
Semi_Circle, purple, 9, brown
Semi_Circle, purple, A, orange
Semi_Circle, purple, B, orange
Semi_Circle, purple, C, orange
Semi_Circle, purple, D, orange
Semi_Circle, purple, E, orange
Semi_Circle, purple, F, orange
Semi_Circle, purple, G, orange
Semi_Circle, purple, H, orange
Semi_Circle, purple, I, orange
Semi_Circle, purple, J, orange
Semi_Circle, purple, K, orange
Semi_Circle, purple, L, orange
Semi_Circle, purple, M, orange
Semi_Circle, purple, N, orange
Semi_Circle, purple, O, orange
Semi_Circle, purple, P, orange
Semi_Circle, purple, Q, orange
Semi_Circle, purple, R, orange
Semi_Circle, purple, S, orange
Semi_Circle, purple, T, orange
Semi_Circle, purple, U, orange
Semi_Circle, purple, V, orange
Semi_Circle, purple, W, orange
Semi_Circle, purple, X, orange
Semi_Circle, purple, Y, orange
Semi_Circle, purple, Z, orange
Semi_Circle, purple, 0, orange
Semi_Circle, purple, 1, orange
Semi_Circle, purple, 2, orange
Semi_Circle, purple, 3, orange
Semi_Circle, purple, 4, orange
Semi_Circle, purple, 5, orange
Semi_Circle, purple, 6, orange
Semi_Circle, purple, 7, orange
Semi_Circle, purple, 8, orange
Semi_Circle, purple, 9, orange
Semi_Circle, brown, A, white
Semi_Circle, brown, B, white
Semi_Circle, brown, C, white
Semi_Circle, brown, D, white
Semi_Circle, brown, E, white
Semi_Circle, brown, F, white
Semi_Circle, brown, G, white
Semi_Circle, brown, H, white
Semi_Circle, brown, I, white
Semi_Circle, brown, J, white
Semi_Circle, brown, K, white
Semi_Circle, brown, L, white
Semi_Circle, brown, M, white
Semi_Circle, brown, N, white
Semi_Circle, brown, O, white
Semi_Circle, brown, P, white
Semi_Circle, brown, Q, white
Semi_Circle, brown, R, white
Semi_Circle, brown, S, white
Semi_Circle, brown, T, white
Semi_Circle, brown, U, white
Semi_Circle, brown, V, white
Semi_Circle, brown, W, white
Semi_Circle, brown, X, white
Semi_Circle, brown, Y, white
Semi_Circle, brown, Z, white
Semi_Circle, brown, 0, white
Semi_Circle, brown, 1, white
Semi_Circle, brown, 2, white
Semi_Circle, brown, 3, white
Semi_Circle, brown, 4, white
Semi_Circle, brown, 5, white
Semi_Circle, brown, 6, white
Semi_Circle, brown, 7, white
Semi_Circle, brown, 8, white
Semi_Circle, brown, 9, white
Semi_Circle, brown, A, black
Semi_Circle, brown, B, black
Semi_Circle, brown, C, black
Semi_Circle, brown, D, black
Semi_Circle, brown, E, black
Semi_Circle, brown, F, black
Semi_Circle, brown, G, black
Semi_Circle, brown, H, black
Semi_Circle, brown, I, black
Semi_Circle, brown, J, black
Semi_Circle, brown, K, black
Semi_Circle, brown, L, black
Semi_Circle, brown, M, black
Semi_Circle, brown, N, black
Semi_Circle, brown, O, black
Semi_Circle, brown, P, black
Semi_Circle, brown, Q, black
Semi_Circle, brown, R, black
Semi_Circle, brown, S, black
Semi_Circle, brown, T, black
Semi_Circle, brown, U, black
Semi_Circle, brown, V, black
Semi_Circle, brown, W, black
Semi_Circle, brown, X, black
Semi_Circle, brown, Y, black
Semi_Circle, brown, Z, black
Semi_Circle, brown, 0, black
Semi_Circle, brown, 1, black
Semi_Circle, brown, 2, black
Semi_Circle, brown, 3, black
Semi_Circle, brown, 4, black
Semi_Circle, brown, 5, black
Semi_Circle, brown, 6, black
Semi_Circle, brown, 7, black
Semi_Circle, brown, 8, black
Semi_Circle, brown, 9, black
Semi_Circle, brown, A, red
Semi_Circle, brown, B, red
Semi_Circle, brown, C, red
Semi_Circle, brown, D, red
Semi_Circle, brown, E, red
Semi_Circle, brown, F, red
Semi_Circle, brown, G, red
Semi_Circle, brown, H, red
Semi_Circle, brown, I, red
Semi_Circle, brown, J, red
Semi_Circle, brown, K, red
Semi_Circle, brown, L, red
Semi_Circle, brown, M, red
Semi_Circle, brown, N, red
Semi_Circle, brown, O, red
Semi_Circle, brown, P, red
Semi_Circle, brown, Q, red
Semi_Circle, brown, R, red
Semi_Circle, brown, S, red
Semi_Circle, brown, T, red
Semi_Circle, brown, U, red
Semi_Circle, brown, V, red
Semi_Circle, brown, W, red
Semi_Circle, brown, X, red
Semi_Circle, brown, Y, red
Semi_Circle, brown, Z, red
Semi_Circle, brown, 0, red
Semi_Circle, brown, 1, red
Semi_Circle, brown, 2, red
Semi_Circle, brown, 3, red
Semi_Circle, brown, 4, red
Semi_Circle, brown, 5, red
Semi_Circle, brown, 6, red
Semi_Circle, brown, 7, red
Semi_Circle, brown, 8, red
Semi_Circle, brown, 9, red
Semi_Circle, brown, A, blue
Semi_Circle, brown, B, blue
Semi_Circle, brown, C, blue
Semi_Circle, brown, D, blue
Semi_Circle, brown, E, blue
Semi_Circle, brown, F, blue
Semi_Circle, brown, G, blue
